	#	BMI	DM Status	Gender	Age category	Smoking status	SBP Category	Cholesterol category	Combination ID	CVD risk %	Priority
Male-NLAB	112	2	x	1	3	1	3	x	2x1313x	10	0
Male-NLAB	113	3	x	1	3	1	3	x	3x1313x	11	0
Male-NLAB	114	4	x	1	3	1	3	x	4x1313x	12	0
Male-NLAB	115	5	x	1	3	1	3	x	5x1313x	14	0
Male-NLAB	116	1	x	1	3	1	4	x	1x1314x	7	0
Male-NLAB	117	2	x	1	3	1	4	x	2x1314x	8	0
Male-NLAB	118	3	x	1	3	1	4	x	3x1314x	8	0
Male-NLAB	119	4	x	1	3	1	4	x	4x1314x	9	0
Male-NLAB	120	5	x	1	3	1	4	x	5x1314x	10	0
Male-NLAB	121	1	x	1	3	1	5	x	1x1315x	5	0
Male-NLAB	122	2	x	1	3	1	5	x	2x1315x	6	0
Male-NLAB	123	3	x	1	3	1	5	x	3x1315x	6	0
Male-NLAB	124	4	x	1	3	1	5	x	4x1315x	7	0
Male-NLAB	125	5	x	1	3	1	5	x	5x1315x	8	0
Male-NLAB	126	1	x	1	3	0	1	x	1x1301x	23	0
Male-NLAB	127	2	x	1	3	0	1	x	2x1301x	25	0
Male-NLAB	128	3	x	1	3	0	1	x	3x1301x	28	0
Male-NLAB	129	4	x	1	3	0	1	x	4x1301x	31	0
Male-NLAB	130	5	x	1	3	0	1	x	5x1301x	34	0
Male-NLAB	131	1	x	1	3	0	2	x	1x1302x	18	0
Male-NLAB	132	2	x	1	3	0	2	x	2x1302x	20	0
Male-NLAB	133	3	x	1	3	0	2	x	3x1302x	22	0
Male-NLAB	134	4	x	1	3	0	2	x	4x1302x	24	0
Male-NLAB	135	5	x	1	3	0	2	x	5x1302x	27	0
Male-NLAB	136	1	x	1	3	0	3	x	1x1303x	14	0
Male-NLAB	137	2	x	1	3	0	3	x	2x1303x	15	0
Male-NLAB	138	3	x	1	3	0	3	x	3x1303x	17	0
Male-NLAB	139	4	x	1	3	0	3	x	4x1303x	19	0
Male-NLAB	140	5	x	1	3	0	3	x	5x1303x	21	0
Male-NLAB	141	1	x	1	3	0	4	x	1x1304x	10	0
Male-NLAB	142	2	x	1	3	0	4	x	2x1304x	12	0
Male-NLAB	143	3	x	1	3	0	4	x	3x1304x	13	0
Male-NLAB	144	4	x	1	3	0	4	x	4x1304x	14	0
Male-NLAB	145	5	x	1	3	0	4	x	5x1304x	16	0
Male-NLAB	146	1	x	1	3	0	5	x	1x1305x	8	0
Male-NLAB	147	2	x	1	3	0	5	x	2x1305x	9	0
Male-NLAB	148	3	x	1	3	0	5	x	3x1305x	10	0
Male-NLAB	149	4	x	1	3	0	5	x	4x1305x	11	0
Male-NLAB	150	5	x	1	3	0	5	x	5x1305x	12	0
Male-NLAB	151	1	x	1	4	1	1	x	1x1411x	12	0
Male-NLAB	152	2	x	1	4	1	1	x	2x1411x	13	0
Male-NLAB	153	3	x	1	4	1	1	x	3x1411x	15	0
Male-NLAB	154	4	x	1	4	1	1	x	4x1411x	16	0
Male-NLAB	155	5	x	1	4	1	1	x	5x1411x	18	0
Male-NLAB	156	1	x	1	4	1	2	x	1x1412x	9	0
Male-NLAB	157	2	x	1	4	1	2	x	2x1412x	10	0
Male-NLAB	158	3	x	1	4	1	2	x	3x1412x	11	0
Male-NLAB	159	4	x	1	4	1	2	x	4x1412x	12	0
Male-NLAB	160	5	x	1	4	1	2	x	5x1412x	14	0
Male-NLAB	161	1	x	1	4	1	3	x	1x1413x	7	0
Male-NLAB	162	2	x	1	4	1	3	x	2x1413x	7	0
Male-NLAB	163	3	x	1	4	1	3	x	3x1413x	8	0
Male-NLAB	164	4	x	1	4	1	3	x	4x1413x	9	0
Male-NLAB	165	5	x	1	4	1	3	x	5x1413x	10	0
Male-NLAB	166	1	x	1	4	1	4	x	1x1414x	5	0
Male-NLAB	167	2	x	1	4	1	4	x	2x1414x	5	0
Male-NLAB	168	3	x	1	4	1	4	x	3x1414x	6	0
Male-NLAB	169	4	x	1	4	1	4	x	4x1414x	7	0
Male-NLAB	170	5	x	1	4	1	4	x	5x1414x	8	0
Male-NLAB	171	1	x	1	4	1	5	x	1x1415x	4	0
Male-NLAB	172	2	x	1	4	1	5	x	2x1415x	4	0
Male-NLAB	173	3	x	1	4	1	5	x	3x1415x	4	0
Male-NLAB	174	4	x	1	4	1	5	x	4x1415x	5	0
Male-NLAB	175	5	x	1	4	1	5	x	5x1415x	6	0
Male-NLAB	176	1	x	1	4	0	1	x	1x1401x	19	0
Male-NLAB	177	2	x	1	4	0	1	x	2x1401x	21	0
Male-NLAB	178	3	x	1	4	0	1	x	3x1401x	24	0
Male-NLAB	179	4	x	1	4	0	1	x	4x1401x	27	0
Male-NLAB	180	5	x	1	4	0	1	x	5x1401x	30	0
Male-NLAB	181	1	x	1	4	0	2	x	1x1402x	14	0
Male-NLAB	182	2	x	1	4	0	2	x	2x1402x	16	0
Male-NLAB	183	3	x	1	4	0	2	x	3x1402x	18	0
Male-NLAB	184	4	x	1	4	0	2	x	4x1402x	20	0
Male-NLAB	185	5	x	1	4	0	2	x	5x1402x	23	0
Male-NLAB	186	1	x	1	4	0	3	x	1x1403x	11	0
Male-NLAB	187	2	x	1	4	0	3	x	2x1403x	12	0
Male-NLAB	188	3	x	1	4	0	3	x	3x1403x	13	0
Male-NLAB	189	4	x	1	4	0	3	x	4x1403x	15	0
Male-NLAB	190	5	x	1	4	0	3	x	5x1403x	17	0
Male-NLAB	191	1	x	1	4	0	4	x	1x1404x	8	0
Male-NLAB	192	2	x	1	4	0	4	x	2x1404x	9	0
Male-NLAB	193	3	x	1	4	0	4	x	3x1404x	10	0
Male-NLAB	194	4	x	1	4	0	4	x	4x1404x	11	0
Male-NLAB	195	5	x	1	4	0	4	x	5x1404x	13	0
Male-NLAB	196	1	x	1	4	0	5	x	1x1405x	6	0
Male-NLAB	197	2	x	1	4	0	5	x	2x1405x	7	0
Male-NLAB	198	3	x	1	4	0	5	x	3x1405x	7	0
Male-NLAB	199	4	x	1	4	0	5	x	4x1405x	8	0
Male-NLAB	200	5	x	1	4	0	5	x	5x1405x	10	0
Male-NLAB	201	1	x	1	5	1	1	x	1x1511x	9	0
Male-NLAB	202	2	x	1	5	1	1	x	2x1511x	10	0
Male-NLAB	203	3	x	1	5	1	1	x	3x1511x	11	0
Male-NLAB	204	4	x	1	5	1	1	x	4x1511x	13	0
Male-NLAB	205	5	x	1	5	1	1	x	5x1511x	15	0
Male-NLAB	206	1	x	1	5	1	2	x	1x1512x	7	0
Male-NLAB	207	2	x	1	5	1	2	x	2x1512x	7	0
Male-NLAB	208	3	x	1	5	1	2	x	3x1512x	8	0
Male-NLAB	209	4	x	1	5	1	2	x	4x1512x	9	0
Male-NLAB	210	5	x	1	5	1	2	x	5x1512x	11	0
Male-NLAB	211	1	x	1	5	1	3	x	1x1513x	5	0
Male-NLAB	212	2	x	1	5	1	3	x	2x1513x	5	0
Male-NLAB	213	3	x	1	5	1	3	x	3x1513x	6	0
Male-NLAB	214	4	x	1	5	1	3	x	4x1513x	7	0
Male-NLAB	215	5	x	1	5	1	3	x	5x1513x	8	0
Male-NLAB	216	1	x	1	5	1	4	x	1x1514x	3	0
Male-NLAB	217	2	x	1	5	1	4	x	2x1514x	4	0
Male-NLAB	218	3	x	1	5	1	4	x	3x1514x	4	0
Male-NLAB	219	4	x	1	5	1	4	x	4x1514x	5	0
Male-NLAB	220	5	x	1	5	1	4	x	5x1514x	6	0
Male-NLAB	221	1	x	1	5	1	5	x	1x1515x	2	0
Male-NLAB	222	2	x	1	5	1	5	x	2x1515x	3	0
Male-NLAB	223	3	x	1	5	1	5	x	3x1515x	3	0
Male-NLAB	224	4	x	1	5	1	5	x	4x1515x	4	0
Male-NLAB	225	5	x	1	5	1	5	x	5x1515x	4	0
Male-NLAB	226	1	x	1	5	0	1	x	1x1501x	15	0
Male-NLAB	227	2	x	1	5	0	1	x	2x1501x	18	0
Male-NLAB	228	3	x	1	5	0	1	x	3x1501x	20	0
Male-NLAB	229	4	x	1	5	0	1	x	4x1501x	23	0
Male-NLAB	230	5	x	1	5	0	1	x	5x1501x	27	0
Male-NLAB	231	1	x	1	5	0	2	x	1x1502x	11	0
Male-NLAB	232	2	x	1	5	0	2	x	2x1502x	13	0
Male-NLAB	233	3	x	1	5	0	2	x	3x1502x	15	0
Male-NLAB	234	4	x	1	5	0	2	x	4x1502x	17	0
Male-NLAB	235	5	x	1	5	0	2	x	5x1502x	20	0
Male-NLAB	236	1	x	1	5	0	3	x	1x1503x	8	0
Male-NLAB	237	2	x	1	5	0	3	x	2x1503x	9	0
Male-NLAB	238	3	x	1	5	0	3	x	3x1503x	11	0
Male-NLAB	239	4	x	1	5	0	3	x	4x1503x	12	0
Male-NLAB	240	5	x	1	5	0	3	x	5x1503x	14	0
Male-NLAB	241	1	x	1	5	0	4	x	1x1504x	6	0
Male-NLAB	242	2	x	1	5	0	4	x	2x1504x	7	0
Male-NLAB	243	3	x	1	5	0	4	x	3x1504x	8	0
Male-NLAB	244	4	x	1	5	0	4	x	4x1504x	9	0
Male-NLAB	245	5	x	1	5	0	4	x	5x1504x	11	0
Male-NLAB	246	1	x	1	5	0	5	x	1x1505x	4	0
Male-NLAB	247	2	x	1	5	0	5	x	2x1505x	5	0
Male-NLAB	248	3	x	1	5	0	5	x	3x1505x	6	0
Male-NLAB	249	4	x	1	5	0	5	x	4x1505x	7	0
Male-NLAB	250	5	x	1	5	0	5	x	5x1505x	8	0
Male-NLAB	251	1	x	1	6	1	1	x	1x1611x	7	0
Male-NLAB	252	2	x	1	6	1	1	x	2x1611x	8	0
Male-NLAB	253	3	x	1	6	1	1	x	3x1611x	9	0
Male-NLAB	254	4	x	1	6	1	1	x	4x1611x	10	0
Male-NLAB	255	5	x	1	6	1	1	x	5x1611x	12	0
Male-NLAB	256	1	x	1	6	1	2	x	1x1612x	5	0
Male-NLAB	257	2	x	1	6	1	2	x	2x1612x	6	0
Male-NLAB	258	3	x	1	6	1	2	x	3x1612x	6	0
Male-NLAB	259	4	x	1	6	1	2	x	4x1612x	7	0
Male-NLAB	260	5	x	1	6	1	2	x	5x1612x	8	0
Male-NLAB	261	1	x	1	6	1	3	x	1x1613x	3	0
Male-NLAB	262	2	x	1	6	1	3	x	2x1613x	4	0
Male-NLAB	263	3	x	1	6	1	3	x	3x1613x	4	0
Male-NLAB	264	4	x	1	6	1	3	x	4x1613x	5	0
Male-NLAB	265	5	x	1	6	1	3	x	5x1613x	6	0
Male-NLAB	266	1	x	1	6	1	4	x	1x1614x	2	0
Male-NLAB	267	2	x	1	6	1	4	x	2x1614x	3	0
Male-NLAB	268	3	x	1	6	1	4	x	3x1614x	3	0
Male-NLAB	269	4	x	1	6	1	4	x	4x1614x	4	0
Male-NLAB	270	5	x	1	6	1	4	x	5x1614x	4	0
Male-NLAB	271	1	x	1	6	1	5	x	1x1615x	2	0
Male-NLAB	272	2	x	1	6	1	5	x	2x1615x	2	0
Male-NLAB	273	3	x	1	6	1	5	x	3x1615x	2	0
Male-NLAB	274	4	x	1	6	1	5	x	4x1615x	2	0
Male-NLAB	275	5	x	1	6	1	5	x	5x1615x	3	0
Male-NLAB	276	1	x	1	6	0	1	x	1x1601x	13	0
Male-NLAB	277	2	x	1	6	0	1	x	2x1601x	15	0
Male-NLAB	278	3	x	1	6	0	1	x	3x1601x	17	0
Male-NLAB	279	4	x	1	6	0	1	x	4x1601x	20	0
Male-NLAB	280	5	x	1	6	0	1	x	5x1601x	23	0
Male-NLAB	281	1	x	1	6	0	2	x	1x1602x	9	0
Male-NLAB	282	2	x	1	6	0	2	x	2x1602x	10	0
Male-NLAB	283	3	x	1	6	0	2	x	3x1602x	12	0
Male-NLAB	284	4	x	1	6	0	2	x	4x1602x	14	0
Male-NLAB	285	5	x	1	6	0	2	x	5x1602x	17	0
Male-NLAB	286	1	x	1	6	0	3	x	1x1603x	6	0
Male-NLAB	287	2	x	1	6	0	3	x	2x1603x	7	0
Male-NLAB	288	3	x	1	6	0	3	x	3x1603x	9	0
Male-NLAB	289	4	x	1	6	0	3	x	4x1603x	10	0
Male-NLAB	290	5	x	1	6	0	3	x	5x1603x	12	0
Male-NLAB	291	1	x	1	6	0	4	x	1x1604x	4	0
Male-NLAB	292	2	x	1	6	0	4	x	2x1604x	5	0
Male-NLAB	293	3	x	1	6	0	4	x	3x1604x	6	0
Male-NLAB	294	4	x	1	6	0	4	x	4x1604x	7	0
Male-NLAB	295	5	x	1	6	0	4	x	5x1604x	8	0
Male-NLAB	296	1	x	1	6	0	5	x	1x1605x	3	0
Male-NLAB	297	2	x	1	6	0	5	x	2x1605x	4	0
Male-NLAB	298	3	x	1	6	0	5	x	3x1605x	4	0
Male-NLAB	299	4	x	1	6	0	5	x	4x1605x	5	0
Male-NLAB	300	5	x	1	6	0	5	x	5x1605x	6	0
Male-NLAB	301	1	x	1	7	1	1	x	1x1711x	5	0
Male-NLAB	302	2	x	1	7	1	1	x	2x1711x	6	0
Male-NLAB	303	3	x	1	7	1	1	x	3x1711x	7	0
Male-NLAB	304	4	x	1	7	1	1	x	4x1711x	8	0
Male-NLAB	305	5	x	1	7	1	1	x	5x1711x	10	0
Male-NLAB	306	1	x	1	7	1	2	x	1x1712x	4	0
Male-NLAB	307	2	x	1	7	1	2	x	2x1712x	4	0
Male-NLAB	308	3	x	1	7	1	2	x	3x1712x	5	0
Male-NLAB	309	4	x	1	7	1	2	x	4x1712x	6	0
Male-NLAB	310	5	x	1	7	1	2	x	5x1712x	7	0
Male-NLAB	311	1	x	1	7	1	3	x	1x1713x	2	0
Male-NLAB	312	2	x	1	7	1	3	x	2x1713x	3	0
Male-NLAB	313	3	x	1	7	1	3	x	3x1713x	3	0
Male-NLAB	314	4	x	1	7	1	3	x	4x1713x	4	0
Male-NLAB	315	5	x	1	7	1	3	x	5x1713x	4	0
Male-NLAB	316	1	x	1	7	1	4	x	1x1714x	2	0
Male-NLAB	317	2	x	1	7	1	4	x	2x1714x	2	0
Male-NLAB	318	3	x	1	7	1	4	x	3x1714x	2	0
Male-NLAB	319	4	x	1	7	1	4	x	4x1714x	3	0
Male-NLAB	320	5	x	1	7	1	4	x	5x1714x	3	0
Male-NLAB	321	1	x	1	7	1	5	x	1x1715x	1	0
Male-NLAB	322	2	x	1	7	1	5	x	2x1715x	1	0
Male-NLAB	323	3	x	1	7	1	5	x	3x1715x	2	0
Male-NLAB	324	4	x	1	7	1	5	x	4x1715x	2	0
Male-NLAB	325	5	x	1	7	1	5	x	5x1715x	2	0
Male-NLAB	326	1	x	1	7	0	1	x	1x1701x	10	0
Male-NLAB	327	2	x	1	7	0	1	x	2x1701x	12	0
Male-NLAB	328	3	x	1	7	0	1	x	3x1701x	14	0
Male-NLAB	329	4	x	1	7	0	1	x	4x1701x	17	0
Male-NLAB	330	5	x	1	7	0	1	x	5x1701x	20	0
Male-NLAB	331	1	x	1	7	0	2	x	1x1702x	7	0
Male-NLAB	332	2	x	1	7	0	2	x	2x1702x	8	0
Male-NLAB	333	3	x	1	7	0	2	x	3x1702x	10	0
Male-NLAB	334	4	x	1	7	0	2	x	4x1702x	12	0
Male-NLAB	335	5	x	1	7	0	2	x	5x1702x	14	0
Male-NLAB	336	1	x	1	7	0	3	x	1x1703x	5	0
Male-NLAB	337	2	x	1	7	0	3	x	2x1703x	6	0
Male-NLAB	338	3	x	1	7	0	3	x	3x1703x	7	0
Male-NLAB	339	4	x	1	7	0	3	x	4x1703x	8	0
Male-NLAB	340	5	x	1	7	0	3	x	5x1703x	10	0
Male-NLAB	341	1	x	1	7	0	4	x	1x1704x	3	0
Male-NLAB	342	2	x	1	7	0	4	x	2x1704x	4	0
Male-NLAB	343	3	x	1	7	0	4	x	3x1704x	5	0
Male-NLAB	344	4	x	1	7	0	4	x	4x1704x	6	0
Male-NLAB	345	5	x	1	7	0	4	x	5x1704x	7	0
Male-NLAB	346	1	x	1	7	0	5	x	1x1705x	2	0
Male-NLAB	347	2	x	1	7	0	5	x	2x1705x	3	0
Male-NLAB	348	3	x	1	7	0	5	x	3x1705x	3	0
Male-NLAB	349	4	x	1	7	0	5	x	4x1705x	4	0
Male-NLAB	350	5	x	1	7	0	5	x	5x1705x	5	0
Female-NLAB	351	1	1	0	1	1	1	1	1101111	18	0
Female-NLAB	352	2	1	0	1	1	1	2	2101112	19	0
Female-NLAB	353	3	1	0	1	1	1	3	3101113	20	0
Female-NLAB	354	4	1	0	1	1	1	4	4101114	21	0
Female-NLAB	355	5	1	0	1	1	1	5	5101115	22	0
Female-NLAB	356	1	1	0	1	1	2	1	1101121	16	0
Female-NLAB	357	2	1	0	1	1	2	2	2101122	16	0
Female-NLAB	358	3	1	0	1	1	2	3	3101123	17	0
Female-NLAB	359	4	1	0	1	1	2	4	4101124	18	0
Female-NLAB	360	5	1	0	1	1	2	5	5101125	18	0
Female-NLAB	361	1	1	0	1	1	3	1	1101131	13	0
Female-NLAB	362	2	1	0	1	1	3	2	2101132	14	0
Female-NLAB	363	3	1	0	1	1	3	3	3101133	14	0
Female-NLAB	364	4	1	0	1	1	3	4	4101134	15	0
Female-NLAB	365	5	1	0	1	1	3	5	5101135	15	0
Female-NLAB	366	1	1	0	1	1	4	1	1101141	11	0
Female-NLAB	367	2	1	0	1	1	4	2	2101142	11	0
Female-NLAB	368	3	1	0	1	1	4	3	3101143	12	0
Female-NLAB	369	4	1	0	1	1	4	4	4101144	12	0
Female-NLAB	370	5	1	0	1	1	4	5	5101145	13	0
Female-NLAB	371	1	1	0	1	1	5	1	1101151	9	0
Female-NLAB	372	2	1	0	1	1	5	2	2101152	9	0
Female-NLAB	373	3	1	0	1	1	5	3	3101153	10	0
Female-NLAB	374	4	1	0	1	1	5	4	4101154	10	0
Female-NLAB	375	5	1	0	1	1	5	5	5101155	11	0
Female-NLAB	376	1	1	0	1	0	1	1	1101011	26	0
Female-NLAB	377	2	1	0	1	0	1	2	2101012	27	0
Female-NLAB	378	3	1	0	1	0	1	3	3101013	28	0
Female-NLAB	379	4	1	0	1	0	1	4	4101014	30	0
Female-NLAB	380	5	1	0	1	0	1	5	5101015	31	0
Female-NLAB	381	1	1	0	1	0	2	1	1101021	22	0
Female-NLAB	382	2	1	0	1	0	2	2	2101022	23	0
Female-NLAB	383	3	1	0	1	0	2	3	3101023	24	0
Female-NLAB	384	4	1	0	1	0	2	4	4101024	25	0
Female-NLAB	385	5	1	0	1	0	2	5	5101025	26	0
Female-NLAB	386	1	1	0	1	0	3	1	1101031	18	0
Female-NLAB	387	2	1	0	1	0	3	2	2101032	19	0
Female-NLAB	388	3	1	0	1	0	3	3	3101033	20	0
Female-NLAB	389	4	1	0	1	0	3	4	4101034	21	0
Female-NLAB	390	5	1	0	1	0	3	5	5101035	22	0
Female-NLAB	391	1	1	0	1	0	4	1	1101041	15	0
Female-NLAB	392	2	1	0	1	0	4	2	2101042	16	0
Female-NLAB	393	3	1	0	1	0	4	3	3101043	17	0
Female-NLAB	394	4	1	0	1	0	4	4	4101044	18	0
Female-NLAB	395	5	1	0	1	0	4	5	5101045	19	0
Female-NLAB	396	1	1	0	1	0	5	1	1101051	13	0
Female-NLAB	397	2	1	0	1	0	5	2	2101052	13	0
Female-NLAB	398	3	1	0	1	0	5	3	3101053	14	0
Female-NLAB	399	4	1	0	1	0	5	4	4101054	15	0
Female-NLAB	400	5	1	0	1	0	5	5	5101055	16	0
Female-NLAB	401	1	1	0	2	1	1	1	1102111	14	0
Female-NLAB	402	2	1	0	2	1	1	2	2102112	15	0
Female-NLAB	403	3	1	0	2	1	1	3	3102113	16	0
Female-NLAB	404	4	1	0	2	1	1	4	4102114	16	0
Female-NLAB	405	5	1	0	2	1	1	5	5102115	17	0
Female-NLAB	406	1	1	0	2	1	2	1	1102121	12	0
Female-NLAB	407	2	1	0	2	1	2	2	2102122	12	0
Female-NLAB	408	3	1	0	2	1	2	3	3102123	13	0
Female-NLAB	409	4	1	0	2	1	2	4	4102124	13	0
Female-NLAB	410	5	1	0	2	1	2	5	5102125	14	0
Female-NLAB	411	1	1	0	2	1	3	1	1102131	9	0
Female-NLAB	412	2	1	0	2	1	3	2	2102132	10	0
